[00:05:03] === TIAUSDT ===
[00:07:02]   TIAUSDT: 50000 bar
[00:08:51]   TIAUSDT: 100000 bar
[00:10:59]   TIAUSDT: 150000 bar
[00:12:52]   TIAUSDT: 200000 bar
[00:15:38]   TIAUSDT: 250000 bar
[00:18:11]   TIAUSDT: 300000 bar
[00:20:23]   TIAUSDT: 350000 bar
[00:22:49]   TIAUSDT: 400000 bar
[00:25:39]   TIAUSDT: 450000 bar
[00:27:16]   TIAUSDT: 500000 bar
[00:28:34]   TIAUSDT: 550000 bar
[00:29:52]   TIAUSDT: 600000 bar
[00:31:11]   TIAUSDT: 650000 bar
[00:32:29]   TIAUSDT: 700000 bar
[00:33:58]   TIAUSDT: 750000 bar
[00:35:20]   TIAUSDT: 800000 bar
[00:36:54]   TIAUSDT: 850000 bar
[00:38:26]   TIAUSDT: 900000 bar
[00:39:51]   TIAUSDT: 950000 bar
[00:41:45]   TIAUSDT: 1000000 bar
[00:43:22]   TIAUSDT: 1050000 bar
[00:44:49]   TIAUSDT: 1100000 bar
[00:46:17]   TIAUSDT: 1150000 bar
[00:47:51]   TIAUSDT: 1200000 bar
[00:49:11]   TIAUSDT: 1250000 bar
[00:50:26]   TIAUSDT: 1300000 bar
[00:50:47]   TIAUSDT: 1313000 bar indirildi
[00:51:05]   TIAUSDT: feather kaydedildi (71.0 MB)
[00:51:05] === SEIUSDT ===
[00:52:30]   SEIUSDT: 50000 bar
[00:53:49]   SEIUSDT: 100000 bar
[00:55:24]   SEIUSDT: 150000 bar
[00:56:34]   SEIUSDT: 200000 bar
[00:57:47]   SEIUSDT: 250000 bar
[00:58:46]   SEIUSDT: 300000 bar
[00:59:50]   SEIUSDT: 350000 bar
[01:01:25]   SEIUSDT: 400000 bar
[01:02:41]   SEIUSDT: 450000 bar
[01:03:59]   SEIUSDT: 500000 bar
[01:05:21]   SEIUSDT: 550000 bar
[01:06:50]   SEIUSDT: 600000 bar
[01:08:20]   SEIUSDT: 650000 bar
[01:09:47]   SEIUSDT: 700000 bar
[01:11:15]   SEIUSDT: 750000 bar
[01:12:43]   SEIUSDT: 800000 bar
[01:14:07]   SEIUSDT: 850000 bar
[01:15:21]   SEIUSDT: 900000 bar
[01:16:55]   SEIUSDT: 950000 bar
[01:18:40]   SEIUSDT: 1000000 bar
[01:19:57]   SEIUSDT: 1050000 bar
[01:21:24]   SEIUSDT: 1100000 bar
[01:22:48]   SEIUSDT: 1150000 bar
[01:24:13]   SEIUSDT: 1200000 bar
[01:25:41]   SEIUSDT: 1250000 bar
[01:26:53]   SEIUSDT: 1300000 bar
[01:27:15]   SEIUSDT: 1313000 bar indirildi
[01:27:36]   SEIUSDT: feather kaydedildi (70.4 MB)
[01:27:36] === ONDOUSDT ===
[01:29:13]   ONDOUSDT: 50000 bar
[01:30:48]   ONDOUSDT: 100000 bar
[01:32:08]   ONDOUSDT: 150000 bar
[01:33:38]   ONDOUSDT: 200000 bar
[01:35:04]   ONDOUSDT: 250000 bar
[01:36:14]   ONDOUSDT: 300000 bar
[01:37:29]   ONDOUSDT: 350000 bar
[01:38:51]   ONDOUSDT: 400000 bar
[01:40:01]   ONDOUSDT: 450000 bar
[01:41:07]   ONDOUSDT: 500000 bar
[01:42:11]   ONDOUSDT: 550000 bar
[01:43:19]   ONDOUSDT: 600000 bar
[01:44:14]   ONDOUSDT: 642000 bar indirildi
[01:44:23]   ONDOUSDT: feather kaydedildi (34.5 MB)
[01:44:23] === PYTHUSDT ===
[01:45:30]   PYTHUSDT: 50000 bar
[01:46:37]   PYTHUSDT: 100000 bar
[01:47:42]   PYTHUSDT: 150000 bar
[01:48:52]   PYTHUSDT: 200000 bar
[01:49:57]   PYTHUSDT: 250000 bar
[01:51:03]   PYTHUSDT: 300000 bar
[01:52:07]   PYTHUSDT: 350000 bar
[01:53:12]   PYTHUSDT: 400000 bar
[01:54:17]   PYTHUSDT: 450000 bar
[01:55:27]   PYTHUSDT: 500000 bar
[01:56:32]   PYTHUSDT: 550000 bar
[01:57:37]   PYTHUSDT: 600000 bar
[01:58:41]   PYTHUSDT: 650000 bar
[01:59:48]   PYTHUSDT: 700000 bar
[02:00:53]   PYTHUSDT: 750000 bar
[02:01:58]   PYTHUSDT: 800000 bar
[02:03:09]   PYTHUSDT: 850000 bar
[02:04:14]   PYTHUSDT: 900000 bar
[02:05:20]   PYTHUSDT: 950000 bar
[02:06:25]   PYTHUSDT: 1000000 bar
[02:07:29]   PYTHUSDT: 1050000 bar
[02:08:32]   PYTHUSDT: 1100000 bar
[02:09:37]   PYTHUSDT: 1150000 bar
[02:10:46]   PYTHUSDT: 1200000 bar
[02:11:52]   PYTHUSDT: 1250000 bar
[02:12:15]   PYTHUSDT: 1266000 bar indirildi
[02:12:29]   PYTHUSDT: feather kaydedildi (63.1 MB)
[02:12:29] === RENDERUSDT ===
[02:13:35]   RENDERUSDT: 50000 bar
[02:14:41]   RENDERUSDT: 100000 bar
[02:15:53]   RENDERUSDT: 150000 bar
[02:16:59]   RENDERUSDT: 200000 bar
[02:18:05]   RENDERUSDT: 250000 bar
[02:19:13]   RENDERUSDT: 300000 bar
[02:20:21]   RENDERUSDT: 350000 bar
[02:21:25]   RENDERUSDT: 400000 bar
[02:22:33]   RENDERUSDT: 450000 bar
[02:23:37]   RENDERUSDT: 500000 bar
[02:24:42]   RENDERUSDT: 550000 bar
[02:25:48]   RENDERUSDT: 600000 bar
[02:26:52]   RENDERUSDT: 650000 bar
[02:27:59]   RENDERUSDT: 700000 bar
[02:29:05]   RENDERUSDT: 750000 bar
[02:30:12]   RENDERUSDT: 800000 bar
[02:31:17]   RENDERUSDT: 850000 bar
[02:32:25]   RENDERUSDT: 900000 bar
[02:33:31]   RENDERUSDT: 950000 bar
[02:34:42]   RENDERUSDT: 1000000 bar
[02:35:03]   RENDERUSDT: 1015000 bar indirildi
[02:35:15]   RENDERUSDT: feather kaydedildi (54.7 MB)
[02:35:15] === ENAUSDT ===
[02:36:19]   ENAUSDT: 50000 bar
[02:37:25]   ENAUSDT: 100000 bar
[02:38:28]   ENAUSDT: 150000 bar
[02:39:32]   ENAUSDT: 200000 bar
[02:40:40]   ENAUSDT: 250000 bar
[02:41:47]   ENAUSDT: 300000 bar
[02:42:55]   ENAUSDT: 350000 bar
[02:44:02]   ENAUSDT: 400000 bar
[02:45:27]   ENAUSDT: 450000 bar
[02:46:34]   ENAUSDT: 500000 bar
[02:47:40]   ENAUSDT: 550000 bar
[02:48:49]   ENAUSDT: 600000 bar
[02:49:55]   ENAUSDT: 650000 bar
[02:51:00]   ENAUSDT: 700000 bar
[02:52:06]   ENAUSDT: 750000 bar
[02:53:12]   ENAUSDT: 800000 bar
[02:54:19]   ENAUSDT: 850000 bar
[02:55:28]   ENAUSDT: 900000 bar
[02:56:34]   ENAUSDT: 950000 bar
[02:57:39]   ENAUSDT: 1000000 bar
[02:58:44]   ENAUSDT: 1050000 bar
[02:59:48]   ENAUSDT: 1100000 bar
[03:00:57]   ENAUSDT: 1150000 bar
[03:01:38]   ENAUSDT: 1180000 bar indirildi
[03:01:53]   ENAUSDT: feather kaydedildi (64.7 MB)
[03:01:53] === STRKUSDT ===
[03:03:00]   STRKUSDT: 50000 bar
[03:04:07]   STRKUSDT: 100000 bar
[03:05:14]   STRKUSDT: 150000 bar
[03:06:18]   STRKUSDT: 200000 bar
[03:07:24]   STRKUSDT: 250000 bar
[03:08:30]   STRKUSDT: 300000 bar
[03:09:36]   STRKUSDT: 350000 bar
[03:10:46]   STRKUSDT: 400000 bar
[03:11:55]   STRKUSDT: 450000 bar
[03:13:01]   STRKUSDT: 500000 bar
[03:14:08]   STRKUSDT: 550000 bar
[03:15:16]   STRKUSDT: 600000 bar
[03:16:21]   STRKUSDT: 650000 bar
[03:17:27]   STRKUSDT: 700000 bar
[03:18:34]   STRKUSDT: 750000 bar
[03:19:45]   STRKUSDT: 800000 bar
[03:21:19]   STRKUSDT: 850000 bar
[03:22:26]   STRKUSDT: 900000 bar
[03:23:32]   STRKUSDT: 950000 bar
[03:24:38]   STRKUSDT: 1000000 bar
[03:25:46]   STRKUSDT: 1050000 bar
[03:26:49]   STRKUSDT: 1100000 bar
[03:27:54]   STRKUSDT: 1150000 bar
[03:29:00]   STRKUSDT: 1200000 bar
[03:29:52]   STRKUSDT: 1240000 bar indirildi
[03:30:09]   STRKUSDT: feather kaydedildi (63.7 MB)
[03:30:09] === GMXUSDT ===
[03:31:15]   GMXUSDT: 50000 bar
[03:32:19]   GMXUSDT: 100000 bar
[03:33:23]   GMXUSDT: 150000 bar
[03:34:26]   GMXUSDT: 200000 bar
[03:35:29]   GMXUSDT: 250000 bar
[03:36:30]   GMXUSDT: 300000 bar
[03:37:31]   GMXUSDT: 350000 bar
[03:38:35]   GMXUSDT: 400000 bar
[03:39:36]   GMXUSDT: 450000 bar
[03:40:40]   GMXUSDT: 500000 bar
[03:41:43]   GMXUSDT: 550000 bar
[03:42:46]   GMXUSDT: 600000 bar
[03:43:48]   GMXUSDT: 650000 bar
[08:22:49] === GMXUSDT ===
[08:23:12] === GMXUSDT ===
[08:24:03] === GMXUSDT ===
[08:24:40] === GMXUSDT ===
[08:24:57]   GMXUSDT: 50000 bar
[08:25:18] === GMXUSDT ===
[08:26:17] === GMXUSDT ===
[08:26:46] === GMXUSDT ===
[08:28:02]   GMXUSDT: 50000 bar
[08:28:47]   GMXUSDT: 50000 bar
[08:29:53]   GMXUSDT: 100000 bar
[08:31:14]   GMXUSDT: 150000 bar
[08:32:26]   GMXUSDT: 200000 bar
[08:33:37]   GMXUSDT: 250000 bar
[08:35:05]   GMXUSDT: 300000 bar
[08:36:19]   GMXUSDT: 350000 bar
[08:37:29]   GMXUSDT: 400000 bar
[08:38:39]   GMXUSDT: 450000 bar
[08:39:54]   GMXUSDT: 500000 bar
[08:41:06]   GMXUSDT: 550000 bar
[08:42:17]   GMXUSDT: 600000 bar
[08:43:29]   GMXUSDT: 650000 bar
[08:44:40]   GMXUSDT: 700000 bar
[08:45:50]   GMXUSDT: 750000 bar
[08:47:00]   GMXUSDT: 800000 bar
[08:48:12]   GMXUSDT: 850000 bar
[08:49:22]   GMXUSDT: 900000 bar
[08:50:31]   GMXUSDT: 950000 bar
[08:51:44]   GMXUSDT: 1000000 bar
[08:53:01]   GMXUSDT: 1050000 bar
[08:54:17]   GMXUSDT: 1100000 bar
[08:55:28]   GMXUSDT: 1150000 bar
