Coin,Session,Bucket_A,Bucket_B,N_A,N_B,WR_A,WR_B,CI_Overlap,Verdict
DYDXUSDT,REAL_CBDR,1-1.5%,1.5-2%,279,444,48.0%,54.3%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1-1.5%,2-3%,279,766,48.0%,53.9%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1-1.5%,3-5%,279,674,48.0%,56.4%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1-1.5%,>5%,279,239,48.0%,57.7%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1.5-2%,2-3%,444,766,54.3%,53.9%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1.5-2%,3-5%,444,674,54.3%,56.4%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,1.5-2%,>5%,444,239,54.3%,57.7%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,2-3%,3-5%,766,674,53.9%,56.4%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,2-3%,>5%,766,239,53.9%,57.7%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,3-5%,>5%,674,239,56.4%,57.7%,Evet,FARK YOK
DYDXUSDT,REAL_CBDR,--- OZET ---,0/10 bucket cifti birbirinden ayrisiyor,,,,,,0 cift ayrisiyor
DYDXUSDT,DEFAULT,0-1%,1-1.5%,237,522,56.1%,52.5%,Evet,FARK YOK
DYDXUSDT,DEFAULT,0-1%,1.5-2%,237,561,56.1%,52.2%,Evet,FARK YOK
DYDXUSDT,DEFAULT,0-1%,2-3%,237,932,56.1%,52.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,0-1%,3-5%,237,640,56.1%,58.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,0-1%,>5%,237,171,56.1%,60.8%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1-1.5%,1.5-2%,522,561,52.5%,52.2%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1-1.5%,2-3%,522,932,52.5%,52.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1-1.5%,3-5%,522,640,52.5%,58.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1-1.5%,>5%,522,171,52.5%,60.8%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1.5-2%,2-3%,561,932,52.2%,52.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1.5-2%,3-5%,561,640,52.2%,58.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,1.5-2%,>5%,561,171,52.2%,60.8%,Evet,FARK YOK
DYDXUSDT,DEFAULT,2-3%,3-5%,932,640,52.1%,58.1%,Evet,FARK YOK
DYDXUSDT,DEFAULT,2-3%,>5%,932,171,52.1%,60.8%,Evet,FARK YOK
DYDXUSDT,DEFAULT,3-5%,>5%,640,171,58.1%,60.8%,Evet,FARK YOK
DYDXUSDT,DEFAULT,--- OZET ---,0/15 bucket cifti birbirinden ayrisiyor,,,,,,0 cift ayrisiyor
DYDXUSDT,ASIA_RANGE,0-1%,1-1.5%,245,574,58.8%,49.0%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,0-1%,1.5-2%,245,631,58.8%,51.0%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,0-1%,2-3%,245,779,58.8%,54.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,0-1%,3-5%,245,623,58.8%,60.4%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,0-1%,>5%,245,175,58.8%,58.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,1-1.5%,1.5-2%,574,631,49.0%,51.0%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,1-1.5%,2-3%,574,779,49.0%,54.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,1-1.5%,3-5%,574,623,49.0%,60.4%,Hayır,ANLAMLI FARK VAR
DYDXUSDT,ASIA_RANGE,1-1.5%,>5%,574,175,49.0%,58.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,1.5-2%,2-3%,631,779,51.0%,54.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,1.5-2%,3-5%,631,623,51.0%,60.4%,Hayır,ANLAMLI FARK VAR
DYDXUSDT,ASIA_RANGE,1.5-2%,>5%,631,175,51.0%,58.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,2-3%,3-5%,779,623,54.3%,60.4%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,2-3%,>5%,779,175,54.3%,58.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,3-5%,>5%,623,175,60.4%,58.3%,Evet,FARK YOK
DYDXUSDT,ASIA_RANGE,--- OZET ---,2/15 bucket cifti birbirinden ayrisiyor,,,,,,2 cift ayrisiyor
ENAUSDT,REAL_CBDR,1-1.5%,1.5-2%,128,263,54.7%,52.9%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1-1.5%,2-3%,128,634,54.7%,52.1%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1-1.5%,3-5%,128,700,54.7%,54.0%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1-1.5%,>5%,128,454,54.7%,55.9%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1.5-2%,2-3%,263,634,52.9%,52.1%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1.5-2%,3-5%,263,700,52.9%,54.0%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,1.5-2%,>5%,263,454,52.9%,55.9%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,2-3%,3-5%,634,700,52.1%,54.0%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,2-3%,>5%,634,454,52.1%,55.9%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,3-5%,>5%,700,454,54.0%,55.9%,Evet,FARK YOK
ENAUSDT,REAL_CBDR,--- OZET ---,0/10 bucket cifti birbirinden ayrisiyor,,,,,,0 cift ayrisiyor
ENAUSDT,DEFAULT,1-1.5%,1.5-2%,286,430,45.1%,51.6%,Evet,FARK YOK
ENAUSDT,DEFAULT,1-1.5%,2-3%,286,686,45.1%,59.8%,Hayır,ANLAMLI FARK VAR
ENAUSDT,DEFAULT,1-1.5%,3-5%,286,669,45.1%,59.2%,Hayır,ANLAMLI FARK VAR
ENAUSDT,DEFAULT,1-1.5%,>5%,286,357,45.1%,56.9%,Hayır,ANLAMLI FARK VAR
ENAUSDT,DEFAULT,1.5-2%,2-3%,430,686,51.6%,59.8%,Evet,FARK YOK
ENAUSDT,DEFAULT,1.5-2%,3-5%,430,669,51.6%,59.2%,Evet,FARK YOK
ENAUSDT,DEFAULT,1.5-2%,>5%,430,357,51.6%,56.9%,Evet,FARK YOK
ENAUSDT,DEFAULT,2-3%,3-5%,686,669,59.8%,59.2%,Evet,FARK YOK
ENAUSDT,DEFAULT,2-3%,>5%,686,357,59.8%,56.9%,Evet,FARK YOK
ENAUSDT,DEFAULT,3-5%,>5%,669,357,59.2%,56.9%,Evet,FARK YOK
ENAUSDT,DEFAULT,--- OZET ---,3/10 bucket cifti birbirinden ayrisiyor,,,,,,3 cift ayrisiyor
ENAUSDT,ASIA_RANGE,1-1.5%,1.5-2%,312,352,47.4%,52.3%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,1-1.5%,2-3%,312,679,47.4%,54.5%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,1-1.5%,3-5%,312,766,47.4%,57.7%,Hayır,ANLAMLI FARK VAR
ENAUSDT,ASIA_RANGE,1-1.5%,>5%,312,355,47.4%,50.1%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,1.5-2%,2-3%,352,679,52.3%,54.5%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,1.5-2%,3-5%,352,766,52.3%,57.7%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,1.5-2%,>5%,352,355,52.3%,50.1%,Evet,FARK YOK
ENAUSDT,ASIA_RANGE,2-3%,3-5%,679,766,54.5%,57.7%,Evet,FARK YOK
