Coin,Session,Total_Trades_Raw,Unique_Trades,Win%,Profit_Factor,MaxDD%,Avg_MAE,PnL,Fail_Limit,Wilson
ADAUSDT,REAL_CBDR,1506,1506,46.5,3.41,5.44,27.7,28451.0,BULUNAMADI,False
ADAUSDT,DEFAULT,1853,981,50.2,3.47,5.82,23.89,16482.0,BULUNAMADI,False
ADAUSDT,ASIA_RANGE,1577,934,48.3,3.54,3.08,23.2,16202.0,BULUNAMADI,False
APTUSDT,REAL_CBDR,1718,1718,44.6,3.12,6.65,30.73,34602.0,BULUNAMADI,False
APTUSDT,DEFAULT,2052,1106,54.2,3.73,5.1,28.91,24033.0,BULUNAMADI,False
APTUSDT,ASIA_RANGE,2021,1240,52.3,3.5,8.02,30.1,27400.0,BULUNAMADI,False
ATOMUSDT,REAL_CBDR,1588,1588,47.9,3.73,4.97,32.65,40011.0,BULUNAMADI,False
ATOMUSDT,DEFAULT,1732,892,46.7,3.58,4.85,29.88,21043.0,BULUNAMADI,False
ATOMUSDT,ASIA_RANGE,1814,1138,51.7,3.86,4.09,30.43,26908.0,BULUNAMADI,False
AVAXUSDT,REAL_CBDR,1666,1666,51.1,3.43,4.21,24.91,28252.0,BULUNAMADI,False
AVAXUSDT,DEFAULT,1986,1064,53.3,4.11,3.06,24.56,21725.0,BULUNAMADI,False
AVAXUSDT,ASIA_RANGE,1855,1081,50.2,3.52,3.02,23.27,18547.0,BULUNAMADI,False
BNBUSDT,REAL_CBDR,913,913,51.8,4.29,2.91,24.81,20156.0,BULUNAMADI,False
BNBUSDT,DEFAULT,970,584,51.7,4.1,4.22,23.76,13191.0,BULUNAMADI,False
BNBUSDT,ASIA_RANGE,1124,773,55.5,4.23,1.57,23.78,14661.0,BULUNAMADI,False
BTCUSDT,REAL_CBDR,1398,1398,45.4,3.02,3.53,24.38,21754.0,BULUNAMADI,False
BTCUSDT,DEFAULT,1728,925,51.8,3.86,3.67,21.81,17131.0,BULUNAMADI,False
BTCUSDT,ASIA_RANGE,1787,1142,48.9,3.34,5.95,21.96,19309.0,BULUNAMADI,False
DOTUSDT,REAL_CBDR,1629,1629,49.5,3.86,4.54,24.64,33170.0,BULUNAMADI,False
DOTUSDT,DEFAULT,1927,1011,50.0,4.23,2.48,24.76,23910.0,BULUNAMADI,False
DOTUSDT,ASIA_RANGE,1784,1066,51.5,3.97,3.58,22.08,19368.0,BULUNAMADI,False
ETHUSDT,REAL_CBDR,1385,1385,42.9,2.63,6.03,22.91,16345.0,BULUNAMADI,False
ETHUSDT,DEFAULT,1532,845,45.3,2.7,3.38,20.44,9782.0,BULUNAMADI,False
ETHUSDT,ASIA_RANGE,1476,861,44.0,2.77,2.88,21.59,11407.0,BULUNAMADI,False
LINKUSDT,REAL_CBDR,1464,1464,47.1,3.02,6.15,26.61,23064.0,BULUNAMADI,False
LINKUSDT,DEFAULT,1648,827,48.0,3.22,2.7,23.87,13721.0,BULUNAMADI,False
LINKUSDT,ASIA_RANGE,1703,1094,47.3,3.55,5.23,24.24,20865.0,BULUNAMADI,False
NEARUSDT,REAL_CBDR,1410,1410,42.4,3.09,10.75,26.02,24494.0,BULUNAMADI,False
NEARUSDT,DEFAULT,1794,1069,53.6,4.06,2.51,22.92,21153.0,BULUNAMADI,False
NEARUSDT,ASIA_RANGE,1925,1168,51.5,4.3,3.05,22.73,24156.0,BULUNAMADI,False
SOLUSDT,REAL_CBDR,1476,1476,48.2,3.3,4.24,23.1,21943.0,BULUNAMADI,False
SOLUSDT,DEFAULT,1842,990,50.6,3.42,4.24,21.44,15210.0,BULUNAMADI,False
SOLUSDT,ASIA_RANGE,1677,988,46.1,2.76,2.77,21.54,11783.0,BULUNAMADI,False
SUIUSDT,REAL_CBDR,1559,1559,41.9,2.26,4.79,29.64,18748.0,BULUNAMADI,False
SUIUSDT,DEFAULT,1842,937,49.8,3.47,3.01,26.86,18539.0,BULUNAMADI,False
SUIUSDT,ASIA_RANGE,1796,1139,50.0,3.35,5.29,27.85,22519.0,BULUNAMADI,False
XRPUSDT,REAL_CBDR,1551,1551,48.5,2.73,4.14,23.82,19811.0,BULUNAMADI,False
XRPUSDT,DEFAULT,1971,1082,51.0,3.65,2.97,23.09,19296.0,BULUNAMADI,False
XRPUSDT,ASIA_RANGE,1829,1015,50.1,3.13,2.8,21.41,13414.0,BULUNAMADI,False
