symbol,mode,trades,pnl,wr,max_dd,pf,long_trades,short_trades,long_pnl,short_pnl,long_wr,short_wr,avg_rr,tp,sl,open
ADAUSDT,real_cbdr,553,71073.63,47.0,5.7,6.48,358,195,59659.03,11414.6,52.2,37.4,1.29,14,539,0
APTUSDT,real_cbdr,570,79081.02,49.3,5.6,6.9,391,179,56256.71,22824.31,48.3,51.4,1.39,20,550,0
ATOMUSDT,real_cbdr,512,42937.63,48.2,5.3,4.27,193,319,15803.47,27134.16,48.2,48.3,0.84,17,495,0
AVAXUSDT,real_cbdr,533,82478.93,48.8,3.9,5.91,218,315,52338.82,30140.11,50.0,47.9,1.03,6,527,0
BNBUSDT,real_cbdr,487,57208.84,49.3,10.3,5.6,219,268,20190.62,37018.22,42.9,54.5,1.17,18,469,0
BTCUSDT,real_cbdr,599,134560.17,61.3,5.4,6.3,270,329,75394.07,59166.1,58.5,63.5,1.87,14,585,0
DOTUSDT,real_cbdr,573,91827.45,50.6,11.9,6.07,388,185,74010.05,17817.4,51.8,48.1,1.34,21,551,1
ETHUSDT,real_cbdr,417,39187.27,45.1,7.0,5.35,195,222,19959.65,19227.62,43.1,46.8,0.94,11,406,0
LINKUSDT,real_cbdr,325,23057.78,31.4,7.1,6.92,240,85,19425.36,3632.42,32.1,29.4,0.71,4,321,0
NEARUSDT,real_cbdr,677,115151.1,51.1,5.1,6.5,373,304,71113.2,44037.9,49.6,53.0,1.42,9,668,0
SOLUSDT,real_cbdr,431,38416.66,42.0,7.8,5.88,219,212,6199.73,32216.93,35.2,49.1,0.89,18,413,0
SUIUSDT,real_cbdr,544,62495.21,46.5,5.8,5.82,306,238,42636.43,19858.78,45.1,48.3,1.15,19,525,0
XRPUSDT,real_cbdr,538,78923.49,49.4,10.3,6.93,315,223,25836.94,53086.55,49.8,48.9,1.47,17,521,0
ADAUSDT,asia_range,640,48773.53,41.6,10.3,4.96,336,304,31341.19,17432.34,42.6,40.5,0.76,16,624,0
APTUSDT,asia_range,659,84947.27,51.9,2.6,5.89,347,312,27070.26,57877.01,48.1,56.1,1.29,21,638,0
ATOMUSDT,asia_range,600,49188.58,49.2,4.0,3.87,258,342,23925.25,25263.33,47.7,50.3,0.82,15,585,0
AVAXUSDT,asia_range,599,106625.07,51.3,13.3,6.14,343,256,67010.3,39614.77,58.6,41.4,1.19,10,589,0
BNBUSDT,asia_range,709,63340.61,46.8,7.6,4.64,391,318,36032.4,27308.21,49.4,43.7,0.89,27,681,1
BTCUSDT,asia_range,580,63305.66,41.9,6.2,5.69,306,274,38007.5,25298.16,43.5,40.1,0.91,13,567,0
DOTUSDT,asia_range,799,137959.64,53.4,7.6,5.99,509,290,80451.81,57507.83,59.7,42.4,1.44,16,782,1
ETHUSDT,asia_range,648,50891.72,42.9,11.7,4.77,314,334,20064.4,30827.32,41.1,44.6,0.79,20,627,1
LINKUSDT,asia_range,448,22393.88,34.2,10.4,4.98,273,175,23022.96,-629.08,38.8,26.9,0.5,7,441,0
NEARUSDT,asia_range,952,137769.5,54.5,2.7,5.46,398,554,58472.24,79297.26,53.8,55.1,1.21,23,929,0
SOLUSDT,asia_range,583,46893.77,41.0,8.1,5.11,279,304,21457.74,25436.03,47.3,35.2,0.8,17,566,0
SUIUSDT,asia_range,831,96177.43,44.0,4.6,6.5,348,483,38989.82,57187.61,44.3,43.9,1.16,20,811,0
XRPUSDT,asia_range,612,38718.36,42.3,7.5,4.56,312,300,25666.69,13051.67,46.5,38.0,0.63,23,589,0
