mult,sym,min_fvg,trades,pnl,wr,mdd,pf
0.02,ADAUSDT,0.0,612,11839.36,41.01307189542484,2.733196040329709,4.556714241933365
0.02,APTUSDT,0.0002,650,18241.76,52.92307692307693,1.281685373729618,4.510009136712931
0.02,ATOMUSDT,0.0002,733,27258.41,48.158253751705324,2.7833658815871165,6.3948399234754785
0.02,AVAXUSDT,0.0012,611,12263.23,43.207855973813416,2.4973270259737346,4.709094930092024
0.02,BNBUSDT,0.0504,588,14379.61,45.74829931972789,2.923213039868729,4.522861918816241
0.02,BTCUSDT,5.5286,494,11629.17,42.30769230769231,3.372712364987682,4.8854702925322515
0.02,DOTUSDT,0.0002,622,16545.35,47.10610932475884,3.326295451602924,5.039976550405835
0.02,ETHUSDT,0.2314,455,6856.46,43.956043956043956,3.0153911416166808,3.5951568596225814
0.02,LINKUSDT,0.0012,543,3894.2599999999998,36.279926335174956,4.687198442943362,3.0867482091914398
0.02,NEARUSDT,0.0002,803,20576.52,49.93773349937734,2.2491626978518253,4.355431637407359
0.02,SOLUSDT,0.0109,376,1504.87,32.180851063829785,9.369411842703808,2.834995548855152
0.02,SUIUSDT,0.0002,610,9981.89,41.80327868852459,4.404157902288134,4.1261051398840936
0.02,XRPUSDT,0.0002,594,13621.01,46.12794612794613,3.557538423024315,4.269285485930093
0.04,ADAUSDT,0.0001,612,11839.36,41.01307189542484,2.733196040329709,4.556714241933365
0.04,APTUSDT,0.0003,650,18241.76,52.92307692307693,1.281685373729618,4.510009136712931
0.04,ATOMUSDT,0.0005,733,27258.41,48.158253751705324,2.7833658815871165,6.3948399234754785
0.04,AVAXUSDT,0.0023,611,12263.23,43.207855973813416,2.4973270259737346,4.709094930092024
0.04,BNBUSDT,0.1008,596,14266.49,45.97315436241611,2.923213039868729,4.418255122027259
0.04,BTCUSDT,11.0572,508,12726.71,42.71653543307087,3.187417719111184,5.024243820152981
0.04,DOTUSDT,0.0004,622,16545.35,47.10610932475884,3.326295451602924,5.039976550405835
0.04,ETHUSDT,0.4628,462,6596.5,42.857142857142854,3.073024116883286,3.63121456749484
0.04,LINKUSDT,0.0023,543,3894.2599999999998,36.279926335174956,4.687198442943362,3.0867482091914398
0.04,NEARUSDT,0.0004,803,20576.52,49.93773349937734,2.2491626978518253,4.355431637407359
0.04,SOLUSDT,0.0218,390,886.97,30.0,11.817280939131736,2.7815912973896495
0.04,SUIUSDT,0.0003,616,10158.84,42.04545454545455,4.493834803520388,4.112047801828182
0.04,XRPUSDT,0.0003,605,13569.17,45.78512396694215,3.557538423024315,4.2276577245672575
0.06,ADAUSDT,0.0001,626,11470.68,40.73482428115016,2.7187036474087938,4.446311837991448
0.06,APTUSDT,0.0005,650,18241.76,52.92307692307693,1.281685373729618,4.510009136712931
0.06,ATOMUSDT,0.0007,727,27234.05,48.28060522696011,1.8071143424076466,6.4527188958108015
0.06,AVAXUSDT,0.0035,611,12263.23,43.207855973813416,2.4973270259737346,4.709094930092024
0.06,BNBUSDT,0.1512,603,14585.86,46.60033167495854,2.923213039868729,4.370405415481148
0.06,BTCUSDT,16.5857,525,12771.14,42.66666666666667,3.3103848104935,4.847309835864772
0.06,DOTUSDT,0.0006,623,16515.35,47.03049759229535,3.326295451602924,5.023525293551392
0.06,ETHUSDT,0.6942,461,6695.79,43.16702819956616,3.053131218096869,3.6012053737823
0.06,LINKUSDT,0.0035,543,3894.2599999999998,36.279926335174956,4.687198442943362,3.0867482091914398
0.06,NEARUSDT,0.0005,810,20514.13,49.75308641975308,2.2491626978518253,4.323082160838566
0.06,SOLUSDT,0.0326,389,744.5,29.562982005141386,13.422456835766269,2.7667508229924485
0.06,SUIUSDT,0.0005,618,10441.3,42.23300970873786,4.0924796271620165,4.1488343922442334
0.06,XRPUSDT,0.0005,608,13079.9,45.23026315789473,3.557538423024315,4.16066523801302
0.08,ADAUSDT,0.0001,628,11165.75,40.12738853503185,3.6580893537235823,4.433745273285454
0.08,APTUSDT,0.0007,650,18241.76,52.92307692307693,1.281685373729618,4.510009136712931
0.08,ATOMUSDT,0.0009,742,27784.24,48.517520215633425,1.7232884789310943,6.32467228380847
0.08,AVAXUSDT,0.0046,612,12233.23,43.13725490196079,2.5031920081978467,4.693011998675694
0.08,BNBUSDT,0.2017,613,14704.19,45.840130505709624,3.4615036712033462,4.398102886371449
0.08,BTCUSDT,22.1143,540,12538.68,42.77777777777778,3.4956924865028736,4.649531419832907
0.08,DOTUSDT,0.0008,621,16019.13,46.3768115942029,3.326295451602924,5.005323583494359
