symbol,fvg_bin,Trades,Cashflow_WR,Avg_R,Total_PnL
ADAUSDT,Abs_XS,6570,0.402,0.645,127122.08
APTUSDT,Abs_XS,6065,0.418,0.481,87500.21
APTUSDT,Abs_S,2,0.5,-0.442,-26.54
ATOMUSDT,Abs_XS,6354,0.404,0.643,122562.99
AVAXUSDT,Abs_XS,5962,0.418,0.585,104587.65
AVAXUSDT,Abs_S,270,0.556,0.42,3399.49
BNBUSDT,Abs_XS,505,0.297,0.384,5823.96
BNBUSDT,Abs_S,5084,0.43,0.558,85116.62
BTCUSDT,Abs_S,5885,0.394,0.532,93958.48
DOTUSDT,Abs_XS,6741,0.427,0.733,148329.42
DOTUSDT,Abs_S,2,0.0,-0.5,-30.0
ETHUSDT,Abs_XS,18,0.056,-0.389,-210.0
ETHUSDT,Abs_S,5113,0.365,0.404,61960.89
LINKUSDT,Abs_XS,5900,0.387,0.501,88756.55
LINKUSDT,Abs_S,68,0.647,0.608,1239.49
NEARUSDT,Abs_XS,6573,0.418,0.662,130601.42
SOLUSDT,Abs_XS,2465,0.336,0.521,38502.7
SOLUSDT,Abs_S,3457,0.448,0.479,49682.1
SUIUSDT,Abs_XS,6091,0.394,0.479,87614.05
XRPUSDT,Abs_XS,6508,0.411,0.554,108191.99
