symbol,rel_fvg_bin,Trades,Cashflow_WR,Avg_R,Total_PnL
ADAUSDT,Rel1,1710,0.296,0.551,28257.47
ADAUSDT,Rel2,1688,0.382,0.807,40880.8
ADAUSDT,Rel3,1734,0.42,0.675,35109.88
ADAUSDT,Rel4,1438,0.53,0.53,22873.93
APTUSDT,Rel1,1346,0.327,0.487,19664.91
APTUSDT,Rel2,1400,0.364,0.45,18890.07
APTUSDT,Rel3,1625,0.426,0.523,25501.27
APTUSDT,Rel4,1696,0.527,0.46,23417.42
ATOMUSDT,Rel1,1780,0.343,0.747,39905.55
ATOMUSDT,Rel2,1668,0.37,0.596,29811.81
ATOMUSDT,Rel3,1484,0.402,0.615,27360.46
ATOMUSDT,Rel4,1422,0.524,0.597,25485.17
AVAXUSDT,Rel1,1424,0.349,0.672,28688.44
AVAXUSDT,Rel2,1514,0.355,0.557,25288.74
AVAXUSDT,Rel3,1480,0.407,0.641,28474.33
AVAXUSDT,Rel4,1814,0.555,0.469,25535.63
BNBUSDT,Rel1,1159,0.331,0.514,17860.4
BNBUSDT,Rel2,1486,0.369,0.488,21751.7
BNBUSDT,Rel3,1497,0.428,0.609,27335.13
BNBUSDT,Rel4,1447,0.527,0.553,23993.35
BTCUSDT,Rel1,1466,0.334,0.618,27179.52
BTCUSDT,Rel2,1566,0.352,0.564,26504.9
BTCUSDT,Rel3,1354,0.371,0.524,21285.22
BTCUSDT,Rel4,1499,0.515,0.422,18988.84
DOTUSDT,Rel1,1724,0.358,0.911,47120.23
DOTUSDT,Rel2,1706,0.377,0.647,33134.75
DOTUSDT,Rel3,1724,0.469,0.838,43340.7
DOTUSDT,Rel4,1589,0.512,0.518,24703.74
ETHUSDT,Rel1,1302,0.286,0.332,12951.48
ETHUSDT,Rel2,1289,0.319,0.386,14913.63
ETHUSDT,Rel3,1157,0.343,0.431,14943.19
ETHUSDT,Rel4,1383,0.497,0.457,18942.59
LINKUSDT,Rel1,1635,0.291,0.44,21568.22
LINKUSDT,Rel2,1486,0.36,0.6,26739.49
LINKUSDT,Rel3,1544,0.397,0.442,20469.46
LINKUSDT,Rel4,1303,0.541,0.543,21218.87
NEARUSDT,Rel1,1823,0.363,0.761,41616.32
NEARUSDT,Rel2,1630,0.381,0.645,31535.93
NEARUSDT,Rel3,1611,0.43,0.73,35293.85
NEARUSDT,Rel4,1509,0.511,0.489,22155.32
SOLUSDT,Rel1,1430,0.324,0.624,26785.24
SOLUSDT,Rel2,1448,0.334,0.412,17917.88
SOLUSDT,Rel3,1416,0.402,0.521,22117.62
SOLUSDT,Rel4,1628,0.531,0.437,21364.06
SUIUSDT,Rel1,1325,0.341,0.646,25689.62
SUIUSDT,Rel2,1575,0.353,0.514,24298.39
SUIUSDT,Rel3,1701,0.382,0.445,22714.48
SUIUSDT,Rel4,1490,0.497,0.334,14911.56
XRPUSDT,Rel1,1785,0.334,0.731,39119.77
XRPUSDT,Rel2,1452,0.373,0.587,25571.93
XRPUSDT,Rel3,1581,0.412,0.435,20646.66
XRPUSDT,Rel4,1690,0.525,0.451,22853.63
