symbol,side,Trades,Cashflow_WR,Avg_R
ADAUSDT,LONG,3152,0.419,0.594
ADAUSDT,SHORT,3418,0.386,0.692
APTUSDT,LONG,3255,0.444,0.57
APTUSDT,SHORT,2812,0.388,0.377
ATOMUSDT,LONG,3533,0.419,0.693
ATOMUSDT,SHORT,2821,0.386,0.58
AVAXUSDT,LONG,3080,0.443,0.567
AVAXUSDT,SHORT,3152,0.406,0.588
BNBUSDT,LONG,2543,0.406,0.464
BNBUSDT,SHORT,3046,0.427,0.608
BTCUSDT,LONG,3005,0.415,0.67
BTCUSDT,SHORT,2880,0.371,0.388
DOTUSDT,LONG,3762,0.453,0.813
DOTUSDT,SHORT,2981,0.395,0.632
ETHUSDT,LONG,2575,0.358,0.4
ETHUSDT,SHORT,2556,0.37,0.402
LINKUSDT,LONG,3029,0.417,0.59
LINKUSDT,SHORT,2939,0.362,0.413
NEARUSDT,LONG,3344,0.42,0.726
NEARUSDT,SHORT,3229,0.416,0.596
SOLUSDT,LONG,3026,0.424,0.598
SOLUSDT,SHORT,2896,0.379,0.39
SUIUSDT,LONG,3093,0.395,0.486
SUIUSDT,SHORT,2998,0.393,0.473
XRPUSDT,LONG,3090,0.404,0.474
XRPUSDT,SHORT,3418,0.418,0.626
