symbol,trailing_count,Trades,Cashflow_WR,Avg_R
ADAUSDT,0,2093,0.108,-0.785
ADAUSDT,1,3344,0.386,0.516
ADAUSDT,2,924,0.989,2.952
ADAUSDT,3,181,1.0,6.377
ADAUSDT,4,23,1.0,7.375
ADAUSDT,5,5,1.0,20.784
APTUSDT,0,1803,0.103,-0.795
APTUSDT,1,3217,0.415,0.477
APTUSDT,2,872,0.963,2.195
APTUSDT,3,150,1.0,4.318
APTUSDT,4,21,1.0,9.162
APTUSDT,5,3,1.0,14.898
APTUSDT,6,1,1.0,16.048
ATOMUSDT,0,1863,0.097,-0.807
ATOMUSDT,1,3325,0.376,0.581
ATOMUSDT,2,939,0.973,2.7
ATOMUSDT,3,187,0.995,4.404
ATOMUSDT,4,39,1.0,7.494
ATOMUSDT,5,1,1.0,3.872
AVAXUSDT,0,1902,0.116,-0.768
AVAXUSDT,1,3250,0.424,0.538
AVAXUSDT,2,885,0.962,2.525
AVAXUSDT,3,155,0.994,4.635
AVAXUSDT,4,36,1.0,7.81
AVAXUSDT,5,4,1.0,19.222
BNBUSDT,0,1742,0.118,-0.763
BNBUSDT,1,2927,0.42,0.583
BNBUSDT,2,769,0.971,2.561
BNBUSDT,3,135,1.0,4.274
BNBUSDT,4,16,1.0,6.682
BTCUSDT,0,1879,0.103,-0.795
BTCUSDT,1,3085,0.4,0.569
BTCUSDT,2,766,0.957,2.703
BTCUSDT,3,128,1.0,4.953
BTCUSDT,4,24,1.0,6.407
BTCUSDT,5,2,1.0,3.598
BTCUSDT,6,1,1.0,4.814
DOTUSDT,0,1989,0.096,-0.809
DOTUSDT,1,3511,0.421,0.617
DOTUSDT,2,1001,0.97,2.966
DOTUSDT,3,212,1.0,5.387
DOTUSDT,4,29,1.0,9.003
DOTUSDT,5,1,1.0,14.287
ETHUSDT,0,1718,0.103,-0.794
ETHUSDT,1,2745,0.381,0.561
ETHUSDT,2,577,0.96,2.475
ETHUSDT,3,82,1.0,4.615
ETHUSDT,4,6,1.0,8.308
ETHUSDT,5,3,1.0,8.945
LINKUSDT,0,1917,0.107,-0.785
LINKUSDT,1,3003,0.368,0.493
LINKUSDT,2,872,0.964,2.545
LINKUSDT,3,143,1.0,4.275
LINKUSDT,4,30,1.0,5.82
LINKUSDT,5,3,1.0,6.363
NEARUSDT,0,1937,0.105,-0.79
NEARUSDT,1,3449,0.402,0.534
NEARUSDT,2,986,0.968,2.942
NEARUSDT,3,181,1.0,5.373
NEARUSDT,4,20,1.0,8.493
SOLUSDT,0,1862,0.098,-0.803
SOLUSDT,1,3109,0.408,0.523
SOLUSDT,2,814,0.971,2.518
SOLUSDT,3,121,0.992,5.129
SOLUSDT,4,15,1.0,9.07
SOLUSDT,5,1,1.0,2.669
SUIUSDT,0,1957,0.103,-0.795
SUIUSDT,1,3152,0.391,0.55
SUIUSDT,2,851,0.98,2.538
SUIUSDT,3,122,1.0,4.425
SUIUSDT,4,7,1.0,3.24
SUIUSDT,5,2,1.0,9.13
XRPUSDT,0,1989,0.11,-0.781
XRPUSDT,1,3415,0.404,0.514
XRPUSDT,2,913,0.976,2.585
XRPUSDT,3,159,0.994,4.861
XRPUSDT,4,23,1.0,7.074
XRPUSDT,5,6,1.0,11.778
XRPUSDT,6,3,1.0,12.387
