symbol,risk_primary,risk_retrade,trades,pnl_base,pnl_custom,delta_pnl,wr,max_dd,profit_factor,retrade_pnl_pct
BTCUSDT,0.012,0.01,1073,232268.18,278727.7,46459.52,76.5,0.9,5.87,-0.0
ETHUSDT,0.01,0.01,862,125010.95,125010.95,0.0,69.8,1.5,4.1,0.6
BNBUSDT,0.01,0.01,764,102417.6,102417.6,0.0,68.8,4.6,3.47,2.9
SOLUSDT,0.01,0.01,562,56635.34,56635.34,0.0,64.2,5.0,3.17,1.4
AVAXUSDT,0.015,0.01,610,81684.84,122390.77,40705.93,67.2,7.1,3.61,0.2
LINKUSDT,0.01,0.008,469,30744.35,30407.23,-337.12,52.7,13.6,2.83,4.4
XRPUSDT,0.01,0.01,794,92180.53,92180.53,0.0,64.1,2.0,3.32,10.7
ATOMUSDT,0.01,0.01,610,52533.26,52533.26,0.0,61.6,5.1,2.69,-0.5
ADAUSDT,0.01,0.01,912,108548.21,108548.21,0.0,64.4,2.9,3.8,0.4
SUIUSDT,0.01,0.01,1116,161799.06,161799.06,0.0,71.4,3.0,4.16,0.1
APTUSDT,0.01,0.01,722,92187.44,92187.44,0.0,70.6,3.0,3.35,-0.2
DOTUSDT,0.012,0.009,732,109451.22,131017.75,21566.53,70.2,12.0,3.8,0.7
NEARUSDT,0.012,0.01,1129,166459.06,199682.98,33223.92,71.0,1.7,4.48,0.2
