symbol,mult,trades,wins,wr,pnl,max_dd,max_dd_pct,el_trades,el_pnl
ADAUSDT,1.0,6570,2640,40.2,127122.08,930.15,9.3,1341,40005.91
ADAUSDT,1.2,6570,2640,40.2,135123.26,941.05,9.41,1341,48007.09
ADAUSDT,1.4,6570,2640,40.2,143124.44,951.95,9.52,1341,56008.27
ADAUSDT,1.6,6570,2640,40.2,151125.63,994.58,9.95,1341,64009.46
ADAUSDT,1.8,6570,2640,40.2,159126.81,1038.76,10.39,1341,72010.64
ADAUSDT,2.0,6570,2640,40.2,167127.99,1082.94,10.83,1341,80011.82
APTUSDT,1.0,6067,2536,41.8,87473.67,835.76,8.36,1271,20683.11
APTUSDT,1.2,6067,2536,41.8,91610.29,847.29,8.47,1271,24819.73
APTUSDT,1.4,6067,2536,41.8,95746.91,858.82,8.59,1271,28956.35
APTUSDT,1.6,6067,2536,41.8,99883.54,876.09,8.76,1271,33092.98
APTUSDT,1.8,6067,2536,41.8,104020.16,912.98,9.13,1271,37229.6
APTUSDT,2.0,6067,2536,41.8,108156.78,949.88,9.5,1271,41366.22
ATOMUSDT,1.0,6354,2569,40.4,122562.99,1265.58,12.66,1201,41172.26
ATOMUSDT,1.2,6354,2569,40.4,130797.44,1266.39,12.66,1201,49406.71
ATOMUSDT,1.4,6354,2569,40.4,139031.89,1267.19,12.67,1201,57641.16
ATOMUSDT,1.6,6354,2569,40.4,147266.35,1268.0,12.68,1201,65875.62
ATOMUSDT,1.8,6354,2569,40.4,155500.8,1268.8,12.69,1201,74110.07
ATOMUSDT,2.0,6354,2569,40.4,163735.25,1269.61,12.7,1201,82344.52
AVAXUSDT,1.0,6232,2644,42.4,107987.14,1087.57,10.88,1279,38159.06
AVAXUSDT,1.2,6232,2644,42.4,115618.95,1153.23,11.53,1279,45790.87
AVAXUSDT,1.4,6232,2644,42.4,123250.76,1218.89,12.19,1279,53422.68
AVAXUSDT,1.6,6232,2644,42.4,130882.58,1284.56,12.85,1279,61054.5
AVAXUSDT,1.8,6232,2644,42.4,138514.39,1350.22,13.5,1279,68686.31
AVAXUSDT,2.0,6232,2644,42.4,146146.2,1415.88,14.16,1279,76318.12
BNBUSDT,1.0,5589,2334,41.8,90940.58,1785.12,17.85,1093,30470.2
BNBUSDT,1.2,5589,2334,41.8,97034.62,1760.7,17.61,1093,36564.24
BNBUSDT,1.4,5589,2334,41.8,103128.66,1736.29,17.36,1093,42658.28
BNBUSDT,1.6,5589,2334,41.8,109222.7,1711.87,17.12,1093,48752.32
BNBUSDT,1.8,5589,2334,41.8,115316.74,1687.46,16.87,1093,54846.36
BNBUSDT,2.0,5589,2334,41.8,121410.78,1663.04,16.63,1093,60940.4
BTCUSDT,1.0,5885,2316,39.4,93958.48,1053.46,10.53,1030,36375.49
BTCUSDT,1.2,5885,2316,39.4,101233.58,1087.28,10.87,1030,43650.59
BTCUSDT,1.4,5885,2316,39.4,108508.68,1121.1,11.21,1030,50925.69
BTCUSDT,1.6,5885,2316,39.4,115783.77,1175.19,11.75,1030,58200.78
BTCUSDT,1.8,5885,2316,39.4,123058.87,1241.98,12.42,1030,65475.88
BTCUSDT,2.0,5885,2316,39.4,130333.97,1308.77,13.09,1030,72750.98
DOTUSDT,1.0,6743,2881,42.7,148299.42,967.09,9.67,1364,45696.87
DOTUSDT,1.2,6743,2881,42.7,157438.79,1040.39,10.4,1364,54836.24
DOTUSDT,1.4,6743,2881,42.7,166578.17,1113.69,11.14,1364,63975.62
DOTUSDT,1.6,6743,2881,42.7,175717.54,1186.99,11.87,1364,73114.99
DOTUSDT,1.8,6743,2881,42.7,184856.92,1260.29,12.6,1364,82254.37
DOTUSDT,2.0,6743,2881,42.7,193996.29,1333.59,13.34,1364,91393.74
ETHUSDT,1.0,5131,1868,36.4,61750.89,1266.09,12.66,948,17839.99
ETHUSDT,1.2,5131,1868,36.4,65318.89,1304.62,13.05,948,21407.99
ETHUSDT,1.4,5131,1868,36.4,68886.89,1343.15,13.43,948,24975.99
ETHUSDT,1.6,5131,1868,36.4,72454.88,1381.67,13.82,948,28543.98
ETHUSDT,1.8,5131,1868,36.4,76022.88,1430.17,14.3,948,32111.98
ETHUSDT,2.0,5131,1868,36.4,79590.88,1482.29,14.82,948,35679.98
LINKUSDT,1.0,5968,2329,39.0,89996.04,1122.45,11.22,1217,29184.28
LINKUSDT,1.2,5968,2329,39.0,95832.9,1173.52,11.74,1217,35021.14
LINKUSDT,1.4,5968,2329,39.0,101669.75,1224.59,12.25,1217,40857.99
LINKUSDT,1.6,5968,2329,39.0,107506.61,1275.66,12.76,1217,46694.85
LINKUSDT,1.8,5968,2329,39.0,113343.46,1326.73,13.27,1217,52531.7
LINKUSDT,2.0,5968,2329,39.0,119180.32,1377.8,13.78,1217,58368.56
NEARUSDT,1.0,6573,2746,41.8,130601.42,917.32,9.17,1135,34072.86
NEARUSDT,1.2,6573,2746,41.8,137415.99,917.32,9.17,1135,40887.43
NEARUSDT,1.4,6573,2746,41.8,144230.56,917.32,9.17,1135,47702.0
NEARUSDT,1.6,6573,2746,41.8,151045.14,917.32,9.17,1135,54516.58
NEARUSDT,1.8,6573,2746,41.8,157859.71,917.32,9.17,1135,61331.15
NEARUSDT,2.0,6573,2746,41.8,164674.28,917.32,9.17,1135,68145.72
SOLUSDT,1.0,5922,2379,40.2,88184.8,1072.41,10.72,984,26952.73
SOLUSDT,1.2,5922,2379,40.2,93575.35,1108.41,11.08,984,32343.28
SOLUSDT,1.4,5922,2379,40.2,98965.89,1144.41,11.44,984,37733.82
SOLUSDT,1.6,5922,2379,40.2,104356.44,1180.41,11.8,984,43124.37
SOLUSDT,1.8,5922,2379,40.2,109746.98,1216.41,12.16,984,48514.91
SOLUSDT,2.0,5922,2379,40.2,115137.53,1254.04,12.54,984,53905.46
SUIUSDT,1.0,6091,2398,39.4,87614.05,1321.61,13.22,1246,33134.15
SUIUSDT,1.2,6091,2398,39.4,94240.88,1315.15,13.15,1246,39760.98
SUIUSDT,1.4,6091,2398,39.4,100867.71,1308.68,13.09,1246,46387.81
SUIUSDT,1.6,6091,2398,39.4,107494.54,1302.22,13.02,1246,53014.64
SUIUSDT,1.8,6091,2398,39.4,114121.37,1295.75,12.96,1246,59641.47
SUIUSDT,2.0,6091,2398,39.4,120748.2,1290.6,12.91,1246,66268.3
XRPUSDT,1.0,6508,2677,41.1,108191.99,895.14,8.95,1264,33320.38
XRPUSDT,1.2,6508,2677,41.1,114856.07,951.62,9.52,1264,39984.46
XRPUSDT,1.4,6508,2677,41.1,121520.14,1008.1,10.08,1264,46648.53
XRPUSDT,1.6,6508,2677,41.1,128184.22,1064.58,10.65,1264,53312.61
XRPUSDT,1.8,6508,2677,41.1,134848.29,1121.06,11.21,1264,59976.68
XRPUSDT,2.0,6508,2677,41.1,141512.37,1177.54,11.78,1264,66640.76
