symbol,trades,pnl,wr,max_dd,profit_factor
ADAUSDT,852,85722.13,45.7,7.6,5.48
APTUSDT,710,101004.4,58.6,2.2,5.94
ATOMUSDT,664,48513.37,49.5,9.1,3.76
AVAXUSDT,617,135381.91,53.3,14.4,6.35
BNBUSDT,714,82205.34,49.2,10.6,5.55
BTCUSDT,992,255300.25,62.4,2.0,6.86
DOTUSDT,740,127934.9,55.9,16.4,5.64
ETHUSDT,771,126670.55,52.4,3.5,7.34
LINKUSDT,541,29081.07,38.3,19.1,4.31
NEARUSDT,1078,231240.9,58.2,5.1,7.04
SOLUSDT,519,42798.08,43.0,11.2,4.66
SUIUSDT,909,123565.24,54.9,6.6,5.71
XRPUSDT,784,70712.92,48.6,4.3,4.73
