Coin,Session,Trades_Raw,Trades_Unique,WR,PF,MaxDD,AvgMAE,PnL
ADAUSDT,REAL_CBDR,5261,5261,38.9,2.77,10.47,26.14,88912.0
ADAUSDT,DEFAULT,6610,3308,45.6,4.06,4.8,25.24,84000.0
ADAUSDT,ASIA_RANGE,4782,1890,44.3,4.09,10.84,25.82,52109.0
APTUSDT,REAL_CBDR,5371,4101,39.6,2.66,7.77,25.01,59664.0
APTUSDT,DEFAULT,6091,2193,47.3,3.57,5.16,24.44,44768.0
APTUSDT,ASIA_RANGE,5272,1940,43.9,3.02,4.48,24.97,35261.0
ATOMUSDT,REAL_CBDR,5588,3334,42.5,3.52,6.88,24.84,71750.0
ATOMUSDT,DEFAULT,6373,1756,41.5,3.79,5.51,24.93,41505.0
ATOMUSDT,ASIA_RANGE,5557,1492,48.1,4.92,3.83,24.4,45357.0
AVAXUSDT,REAL_CBDR,5339,2618,43.9,3.25,6.6,25.11,49583.0
AVAXUSDT,DEFAULT,6256,1518,41.7,3.49,9.24,25.05,32563.0
AVAXUSDT,ASIA_RANGE,5016,1071,40.6,3.23,5.69,26.25,23135.0
BNBUSDT,REAL_CBDR,4541,1986,40.5,3.16,5.43,25.55,38610.0
BNBUSDT,DEFAULT,5613,1248,46.2,3.77,4.47,24.36,27287.0
BNBUSDT,ASIA_RANGE,4856,948,45.9,4.16,5.41,24.61,24282.0
BTCUSDT,REAL_CBDR,4901,1602,39.5,3.19,7.15,25.78,32757.0
BTCUSDT,DEFAULT,5917,1060,44.2,4.27,4.13,25.47,28747.0
BTCUSDT,ASIA_RANGE,4916,758,44.2,4.11,3.49,25.52,20410.0
DOTUSDT,REAL_CBDR,5576,1442,41.6,3.77,4.08,24.95,33722.0
DOTUSDT,DEFAULT,6778,916,42.4,4.11,3.73,25.54,24372.0
DOTUSDT,ASIA_RANGE,5363,602,39.4,4.19,5.02,25.3,17336.0
ETHUSDT,REAL_CBDR,4615,1022,36.2,2.72,7.76,26.0,15865.0
ETHUSDT,DEFAULT,5166,626,41.9,3.91,4.4,25.72,16342.0
ETHUSDT,ASIA_RANGE,4197,427,44.3,4.25,3.09,25.73,11871.0
LINKUSDT,REAL_CBDR,5245,1032,38.5,3.01,4.05,25.13,17690.0
LINKUSDT,DEFAULT,5988,557,39.1,2.98,2.93,26.13,11057.0
LINKUSDT,ASIA_RANGE,4905,438,44.1,5.33,2.6,25.31,13707.0
NEARUSDT,REAL_CBDR,5352,988,39.1,3.45,3.7,25.65,21392.0
NEARUSDT,DEFAULT,6593,660,45.5,4.15,2.57,24.45,16536.0
NEARUSDT,ASIA_RANGE,5536,490,41.6,5.17,3.56,25.78,16657.0
SOLUSDT,REAL_CBDR,4717,732,42.9,4.06,4.6,26.22,19731.0
SOLUSDT,DEFAULT,5946,490,43.5,3.93,2.61,25.25,10964.0
SOLUSDT,ASIA_RANGE,4741,397,40.6,3.03,4.99,25.87,7455.0
SUIUSDT,REAL_CBDR,5185,824,39.7,3.15,5.42,25.82,16831.0
SUIUSDT,DEFAULT,6115,505,35.4,2.47,4.78,25.36,7778.0
SUIUSDT,ASIA_RANGE,4867,350,36.6,2.8,3.84,25.23,6025.0
XRPUSDT,REAL_CBDR,5195,675,40.7,3.13,3.62,26.24,12768.0
XRPUSDT,DEFAULT,6533,499,41.7,3.11,2.6,24.11,8446.0
XRPUSDT,ASIA_RANGE,5134,261,41.8,3.27,2.88,22.34,4916.0
