symbol,bucket_low,bucket_high,n,pf,sharpe,max_dd_pct,old_mult,new_mult,delta
AAVEUSDT,0.0,1.0,481,1.164,0.0722,16.297,0.0,0.0,0.0
AAVEUSDT,1.0,1.5,1127,2.409,0.2485,4.605,0.8,0.8,0.0
AAVEUSDT,1.5,2.0,928,2.503,0.2553,2.812,1.0,1.0,0.0
AAVEUSDT,2.0,3.0,1057,2.899,0.3195,1.496,1.2,1.2,0.0
AAVEUSDT,3.0,5.0,698,4.217,0.3756,2.132,1.5,1.5,0.0
AAVEUSDT,5.0,999.0,243,8.371,0.4324,1.244,1.5,1.5,0.0
ADAUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ADAUSDT,1.0,1.5,1049,1.851,0.1868,3.662,0.8,0.8,0.0
ADAUSDT,1.5,2.0,909,2.361,0.2496,2.393,1.0,1.0,0.0
ADAUSDT,2.0,3.0,1037,3.241,0.3116,1.793,1.2,1.2,0.0
ADAUSDT,3.0,5.0,577,2.885,0.2945,2.312,1.0,1.0,0.0
ADAUSDT,5.0,999.0,169,8.07,0.4676,1.513,1.5,1.5,0.0
ALGOUSDT,0.0,1.0,451,1.187,0.0385,22.056,0.0,0.0,0.0
ALGOUSDT,1.0,1.5,872,2.061,0.2186,2.93,0.8,0.8,0.0
ALGOUSDT,1.5,2.0,886,3.187,0.3467,1.824,1.2,1.2,0.0
ALGOUSDT,2.0,3.0,1038,3.308,0.2874,1.964,1.2,1.2,0.0
ALGOUSDT,3.0,5.0,715,3.734,0.2986,1.686,1.2,1.2,0.0
ALGOUSDT,5.0,999.0,214,4.618,0.4248,2.067,1.5,1.5,0.0
APTUSDT,0.0,1.0,140,3.119,0.2798,2.716,1.0,1.0,0.0
APTUSDT,1.0,1.5,577,1.504,0.1444,3.624,0.5,0.5,0.0
APTUSDT,1.5,2.0,859,1.797,0.2074,2.47,0.8,0.8,0.0
APTUSDT,2.0,3.0,1087,2.669,0.2802,2.089,1.0,1.0,0.0
APTUSDT,3.0,5.0,812,4.203,0.3714,0.824,1.5,1.5,0.0
APTUSDT,5.0,999.0,360,4.119,0.375,2.154,1.5,1.5,0.0
ARBUSDT,0.0,1.0,373,1.482,0.1408,4.308,0.5,0.5,0.0
ARBUSDT,1.0,1.5,1185,2.094,0.2382,2.704,1.0,1.0,0.0
ARBUSDT,1.5,2.0,888,2.955,0.303,1.36,1.2,1.2,0.0
ARBUSDT,2.0,3.0,1247,3.135,0.3001,2.185,1.2,1.2,0.0
ARBUSDT,3.0,5.0,735,3.852,0.3452,1.41,1.5,1.5,0.0
ARBUSDT,5.0,999.0,241,11.726,0.3327,1.392,1.5,1.5,0.0
ATOMUSDT,0.0,1.0,997,1.879,0.1572,3.721,0.8,0.8,0.0
ATOMUSDT,1.0,1.5,1177,1.566,0.1497,5.059,0.5,0.5,0.0
ATOMUSDT,1.5,2.0,1053,2.791,0.2842,1.641,1.2,1.2,0.0
ATOMUSDT,2.0,3.0,872,3.114,0.2869,1.824,1.2,1.2,0.0
ATOMUSDT,3.0,5.0,416,4.343,0.3553,1.85,1.5,1.5,0.0
ATOMUSDT,5.0,999.0,95,4.888,0.3795,2.087,1.0,1.0,0.0
AVAXUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
AVAXUSDT,1.0,1.5,749,2.345,0.2755,3.031,1.0,1.0,0.0
AVAXUSDT,1.5,2.0,898,1.643,0.1659,3.235,0.8,0.8,0.0
AVAXUSDT,2.0,3.0,1000,3.004,0.281,2.814,1.0,1.0,0.0
AVAXUSDT,3.0,5.0,717,2.74,0.2969,1.933,1.0,1.0,0.0
AVAXUSDT,5.0,999.0,358,4.345,0.2832,3.172,1.2,1.2,0.0
BNBUSDT,0.0,1.0,1216,0.913,-0.034,42.501,0.0,0.0,0.0
BNBUSDT,1.0,1.5,1017,2.079,0.2199,4.275,0.8,0.8,0.0
BNBUSDT,1.5,2.0,484,2.528,0.258,4.112,0.8,0.8,0.0
BNBUSDT,2.0,3.0,571,3.483,0.3259,3.082,1.2,1.2,0.0
BNBUSDT,3.0,5.0,292,5.934,0.4831,1.605,1.5,1.5,0.0
BNBUSDT,5.0,999.0,51,7.157,0.6395,1.376,1.0,1.0,0.0
DOGEUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOGEUSDT,1.0,1.5,712,1.948,0.1942,3.435,0.8,0.8,0.0
DOGEUSDT,1.5,2.0,699,1.551,0.1589,2.894,0.5,0.5,0.0
DOGEUSDT,2.0,3.0,824,2.298,0.2556,2.677,1.0,1.0,0.0
DOGEUSDT,3.0,5.0,696,5.227,0.416,1.405,1.5,1.5,0.0
DOGEUSDT,5.0,999.0,355,9.562,0.4433,1.291,1.5,1.5,0.0
DOTUSDT,0.0,1.0,820,1.621,0.1513,4.97,0.5,0.5,0.0
DOTUSDT,1.0,1.5,1123,2.296,0.2424,3.246,1.0,1.0,0.0
DOTUSDT,1.5,2.0,984,2.166,0.2094,3.971,0.8,0.8,0.0
DOTUSDT,2.0,3.0,1093,2.997,0.3118,1.743,1.2,1.2,0.0
DOTUSDT,3.0,5.0,475,3.548,0.2879,1.855,1.2,1.2,0.0
DOTUSDT,5.0,999.0,188,4.992,0.4262,4.311,1.2,1.2,0.0
DYDXUSDT,0.0,1.0,360,2.846,0.2655,5.842,1.0,1.0,0.0
DYDXUSDT,1.0,1.5,806,2.222,0.2737,2.509,1.0,1.0,0.0
DYDXUSDT,1.5,2.0,973,2.425,0.2511,1.897,1.0,1.0,0.0
DYDXUSDT,2.0,3.0,1397,2.981,0.3118,1.474,1.2,1.2,0.0
DYDXUSDT,3.0,5.0,1023,4.614,0.363,1.004,1.5,1.5,0.0
DYDXUSDT,5.0,999.0,294,8.09,0.4002,0.891,1.5,1.5,0.0
ENAUSDT,0.0,1.0,135,1.942,0.2728,2.503,0.8,0.8,0.0
ENAUSDT,1.0,1.5,390,2.009,0.1962,2.665,0.8,0.8,0.0
ENAUSDT,1.5,2.0,600,1.982,0.242,2.603,0.8,0.8,0.0
ENAUSDT,2.0,3.0,1079,3.849,0.3667,1.208,1.5,1.5,0.0
ENAUSDT,3.0,5.0,1068,4.377,0.3601,0.792,1.5,1.5,0.0
ENAUSDT,5.0,999.0,580,6.02,0.3634,0.739,1.5,1.5,0.0
GMXUSDT,0.0,1.0,620,2.088,0.2007,3.784,0.8,0.8,0.0
GMXUSDT,1.0,1.5,1218,2.963,0.2874,1.872,1.2,1.2,0.0
GMXUSDT,1.5,2.0,919,3.974,0.3216,0.986,1.5,1.5,0.0
GMXUSDT,2.0,3.0,1287,4.298,0.3084,0.837,1.5,1.5,0.0
GMXUSDT,3.0,5.0,566,4.158,0.2814,1.897,1.2,1.2,0.0
GMXUSDT,5.0,999.0,173,8.911,0.4218,0.927,1.5,1.5,0.0
INJUSDT,0.0,1.0,244,1.045,0.0341,3.885,0.0,0.0,0.0
INJUSDT,1.0,1.5,852,1.804,0.188,3.713,0.8,0.8,0.0
INJUSDT,1.5,2.0,825,2.445,0.2691,2.699,1.0,1.0,0.0
INJUSDT,2.0,3.0,1218,1.998,0.2264,1.564,1.0,1.0,0.0
INJUSDT,3.0,5.0,947,3.951,0.397,1.049,1.5,1.5,0.0
INJUSDT,5.0,999.0,272,4.367,0.4036,1.931,1.5,1.5,0.0
LDOUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
LDOUSDT,1.0,1.5,414,1.935,0.2017,2.124,0.8,0.8,0.0
LDOUSDT,1.5,2.0,763,1.909,0.187,4.783,0.8,0.8,0.0
LDOUSDT,2.0,3.0,1019,4.023,0.3694,1.216,1.5,1.5,0.0
